8001,2353,2889,
8001,3025,2353,
8001,3044,2353,
0004,2237,2470,
0004,3053,2470,
0005,3886,2177,
6100,4235,2282,
6100,4728,4235,
8002,3541,2282,
8002,2697,3541,
8002,4620,3541,
8002,4803,3541,
8003,4331,1051,
8003,4390,1051,
8010,831,2137,
8010,2137,2282,
8010,2835,2282,
8020,3013,2282,
8020,2987,3013,
8020,3467,3013,
8020,3855,3013,
8020,3862,3013,
8020,3930,3013,
8020,5180,3013,
8020,4601,3013,
8020,4750,3013,
8021,4178,3013,
8021,4299,4178,
8021,4857,4178,
8030,3827,2282,
8030,4068,3827,
8040,5186,2919,
8040,3652,5186,
8040,928,5186,
8040,2139,5186,
8040,2140,5186,
8040,2514,5186,
8040,2666,5186,
8040,2676,5186,
8040,2807,5186,
8040,3001,5186,
8040,3925,5186,
8040,2497,5186,
8040,4889,5186,
8100,4540,2282,
8100,3833,4540,
8100,2610,4540,
7610,3004,2922,
7610,3619,2922,
7610,3928,2922,
7621,3536,2922,
7621,2670,3536,
7621,4266,3536,
7621,4555,3536,
7630,4384,1086,
7630,4547,1086,
7630,4549,1086,
7630,4713,1086,
7630,2980,1086,
7640,3821,2922,
7640,2644,3821,
7640,3303,3821,
7640,3896,3821,
7640,3921,3821,
7640,4714,3821,
7650,4403,4497,
7650,2756,4497,
7660,2979,4630,
7660,3901,4630,
6211,3674,4235,
6211,3020,3674,
6211,4208,3674,
6212,2337,3674,
6212,1902,2337,
6212,2643,2337,
6212,2997,2337,
6212,2998,2337,
6212,3474,2337,
6212,3723,2337,
6212,4753,2337,
6212,4843,2337,
6212,4168,2337,
6213,3223,3674,
6213,4292,3223,
6213,2669,3223,
6213,4454,3223,
6215,4661,3674,
6215,4129,4661,
6215,3558,4661,
6215,2352,4661,
6215,3343,4661,
6215,4349,4661,
6215,4641,4661,
6215,4676,4661,
6221,3461,4235,
6221,2328,3461,
6221,3063,3461,
6223,3570,3461,
6223,2969,3570,
6223,2233,3570,
6223,3475,3570,
6223,3916,3570,
6223,2510,3570,
6224,1903,3461,
6224,3620,1903,
6224,2520,1903,
6224,2717,1903,
6224,3623,1903,
6224,3667,1903,
6224,3752,1903,
6224,3756,1903,
6224,2755,1903,
6224,2798,1903,
6224,2349,1903,
6224,3830,1903,
6224,4305,1903,
6224,4663,1903,
6224,4884,1903,
6224,4965,1903,
6224,4985,1903,
6241,4588,4235,
6241,4700,4588,
6242,5185,4588,
6242,4053,5185,
6242,3052,5185,
6242,3465,5185,
6242,4055,5185,
6242,4512,5185,
6242,4961,5185,
6242,4962,5185,
6242,4056,5185,
6243,3248,4588,
6244,4059,4588,
6244,3484,4059,
6244,4532,4059,
6244,4541,4059,
6244,4741,4059,
6244,4936,4059,
8211,2592,2760,
8211,3832,2592,
8211,3472,2592,
8211,3811,2592,
8211,3857,2592,
8211,4653,2592,
8212,3880,2760,
8212,5084,2760,
6400,4877,4235,
6401,2674,4877,
6410,3932,4877,
6411,3478,3932,
6411,3409,3478,
6412,2752,3932,
6412,3202,2752,
6412,2329,2752,
6412,4252,2752,
6413,2751,3932,
6413,4954,2751,
6421,1303,3932,
6421,940,1303,
6421,2758,1303,
6421,3889,1303,
6421,4888,1303,
6422,3647,3932,
6422,1768,3647,
6422,2686,3647,
6422,4385,3647,
6422,4769,3647,
6300,3470,4235,
6300,2990,3470,
6300,1493,3470,
6300,2680,3470,
6300,2800,3470,
6300,3638,3470,
6300,3560,3470,
6300,2492,3470,
6306,3022,3470,
6306,2500,3022,
6306,3599,3022,
6311,2757,3470,
6312,2234,2757,
6312,4225,2234,
6312,4229,2234,
6313,3555,2757,
6313,3073,3555,
6313,3804,3555,
6313,4935,3555,
6314,3306,1692,
6314,2685,2757,
